customer_id,age,age_group,job,marital,education,default,housing,loan,has_unknown_value
111,60,55+,retired,divorced,university.degree,unknown,no,no,True
112,58,55+,unemployed,married,basic.4y,unknown,no,no,True
113,35,26-35,services,divorced,high.school,no,yes,no,False
114,55,46-55,blue-collar,married,basic.9y,unknown,yes,no,True
115,37,36-45,management,married,university.degree,no,no,no,False
116,36,36-45,blue-collar,married,high.school,no,no,no,False
117,52,46-55,admin.,divorced,university.degree,no,no,no,False
118,57,55+,blue-collar,divorced,unknown,unknown,yes,no,True
119,56,55+,admin.,married,unknown,no,yes,no,True
120,48,46-55,blue-collar,divorced,basic.4y,unknown,yes,no,True
121,40,36-45,blue-collar,married,high.school,unknown,yes,no,True
122,49,46-55,blue-collar,divorced,high.school,no,no,no,False
123,41,36-45,services,married,high.school,no,no,no,False
124,45,36-45,technician,married,high.school,no,yes,no,False
125,32,26-35,admin.,married,university.degree,no,yes,yes,False
126,42,36-45,admin.,married,university.degree,no,no,yes,False
127,50,46-55,admin.,married,basic.6y,no,no,no,False
128,31,26-35,technician,divorced,professional.course,no,yes,yes,False
129,56,55+,retired,married,basic.4y,no,yes,no,False
130,41,36-45,technician,married,professional.course,unknown,yes,no,True
131,37,36-45,blue-collar,married,basic.6y,no,yes,yes,False
132,41,36-45,technician,married,professional.course,unknown,no,no,True
133,35,26-35,blue-collar,married,unknown,no,yes,no,True
134,37,36-45,blue-collar,married,basic.6y,no,yes,no,False
135,52,46-55,management,married,university.degree,no,no,no,False
136,39,36-45,management,divorced,university.degree,no,no,no,False
137,39,36-45,housemaid,married,basic.4y,unknown,no,no,True
138,56,55+,blue-collar,married,basic.4y,unknown,no,no,True
139,34,26-35,services,married,high.school,no,yes,no,False
140,45,36-45,blue-collar,married,basic.9y,unknown,yes,no,True
141,43,36-45,unemployed,single,university.degree,no,yes,no,False
142,56,55+,management,married,unknown,no,yes,no,True
143,39,36-45,management,married,university.degree,no,yes,no,False
144,53,46-55,blue-collar,married,basic.4y,no,yes,no,False
145,38,36-45,unknown,divorced,high.school,unknown,yes,no,True
146,42,36-45,blue-collar,married,basic.4y,unknown,yes,no,True
147,42,36-45,blue-collar,married,basic.4y,unknown,no,no,True
148,35,26-35,admin.,single,high.school,no,yes,no,False
149,40,36-45,admin.,married,university.degree,unknown,yes,no,True
150,51,46-55,blue-collar,married,basic.4y,no,yes,no,False
151,60,55+,blue-collar,married,basic.9y,unknown,no,no,True
152,56,55+,entrepreneur,married,unknown,unknown,yes,no,True
153,39,36-45,services,divorced,high.school,unknown,yes,no,True
154,56,55+,entrepreneur,married,unknown,unknown,no,no,True
155,40,36-45,blue-collar,married,unknown,no,yes,yes,True
156,36,36-45,blue-collar,married,basic.9y,no,yes,yes,False
157,51,46-55,blue-collar,married,unknown,unknown,yes,no,True
158,51,46-55,blue-collar,married,unknown,unknown,no,no,True
159,43,36-45,technician,single,professional.course,no,yes,no,False
160,59,55+,services,married,high.school,no,no,no,False
161,24,18-25,management,single,university.degree,no,yes,no,False
162,37,36-45,blue-collar,single,basic.9y,unknown,yes,yes,True
163,40,36-45,blue-collar,married,basic.9y,unknown,no,no,True
164,42,36-45,blue-collar,married,basic.9y,unknown,no,no,True
165,39,36-45,services,divorced,high.school,unknown,no,no,True
166,37,36-45,entrepreneur,married,basic.6y,no,no,no,False
167,38,36-45,services,married,high.school,no,yes,yes,False
168,56,55+,admin.,divorced,unknown,unknown,no,no,True
169,40,36-45,blue-collar,married,unknown,no,no,no,True
170,54,46-55,management,divorced,university.degree,no,yes,no,False
171,43,36-45,blue-collar,married,high.school,unknown,no,yes,True
172,36,36-45,services,married,high.school,unknown,no,no,True
173,45,36-45,technician,married,university.degree,no,yes,yes,False
174,42,36-45,admin.,single,university.degree,unknown,no,no,True
175,43,36-45,services,married,high.school,no,no,no,False
176,46,46-55,management,married,basic.9y,no,no,no,False
177,44,36-45,services,married,high.school,no,yes,yes,False
178,51,46-55,admin.,single,basic.6y,no,no,no,False
179,28,26-35,services,married,high.school,no,yes,no,False
180,37,36-45,blue-collar,married,basic.9y,no,no,no,False
181,34,26-35,technician,married,high.school,no,no,no,False
182,46,46-55,blue-collar,married,basic.6y,unknown,yes,no,True
183,42,36-45,blue-collar,married,basic.9y,no,yes,yes,False
184,36,36-45,admin.,married,university.degree,no,yes,no,False
185,54,46-55,blue-collar,married,basic.4y,unknown,no,no,True
186,57,55+,management,married,university.degree,no,no,no,False
187,51,46-55,technician,married,basic.6y,unknown,no,no,True
188,54,46-55,retired,married,high.school,unknown,no,no,True
189,49,46-55,blue-collar,married,basic.4y,unknown,no,no,True
190,34,26-35,admin.,married,university.degree,no,yes,no,False
191,41,36-45,technician,married,professional.course,no,no,no,False
192,38,36-45,blue-collar,single,basic.9y,no,yes,no,False
193,45,36-45,management,divorced,university.degree,no,no,no,False
194,42,36-45,technician,married,university.degree,no,no,no,False
195,34,26-35,blue-collar,single,basic.9y,unknown,yes,no,True
196,48,46-55,blue-collar,married,basic.4y,no,yes,no,False
197,37,36-45,admin.,married,high.school,unknown,yes,no,True
198,34,26-35,blue-collar,single,basic.9y,unknown,no,no,True
199,40,36-45,admin.,married,basic.9y,unknown,yes,no,True
200,43,36-45,blue-collar,married,basic.6y,no,yes,no,False
201,33,26-35,services,married,high.school,no,no,no,False
202,32,26-35,services,single,basic.6y,no,no,no,False
203,39,36-45,blue-collar,married,high.school,no,yes,no,False
204,43,36-45,admin.,married,unknown,no,no,no,True
205,44,36-45,blue-collar,married,basic.9y,no,yes,no,False
206,35,26-35,student,single,university.degree,unknown,no,no,True
207,35,26-35,student,single,university.degree,unknown,yes,yes,True
208,35,26-35,unemployed,married,professional.course,no,no,no,False
209,36,36-45,services,single,basic.4y,no,no,no,False
210,35,26-35,student,single,university.degree,unknown,yes,no,True
211,36,36-45,student,single,basic.9y,no,yes,no,False
212,55,46-55,housemaid,divorced,university.degree,no,no,no,False
213,59,55+,admin.,married,university.degree,no,no,no,False
214,57,55+,retired,married,unknown,unknown,no,no,True
215,39,36-45,blue-collar,married,professional.course,unknown,yes,no,True
216,39,36-45,housemaid,married,basic.4y,unknown,yes,no,True
217,30,26-35,blue-collar,single,unknown,no,yes,no,True
218,30,26-35,blue-collar,single,unknown,no,yes,yes,True
219,50,46-55,housemaid,married,basic.4y,unknown,no,no,True
220,40,36-45,services,married,high.school,no,no,no,False
221,35,26-35,admin.,married,high.school,no,yes,no,False
222,43,36-45,technician,married,unknown,unknown,no,no,True
223,36,36-45,services,single,basic.6y,unknown,yes,no,True
224,46,46-55,technician,married,basic.4y,unknown,yes,no,True
225,40,36-45,technician,married,basic.9y,no,no,no,False
226,58,55+,retired,married,university.degree,no,no,no,False
227,42,36-45,technician,married,university.degree,no,no,no,False
228,35,26-35,admin.,single,university.degree,no,no,no,False
229,43,36-45,retired,married,basic.4y,unknown,no,no,True
230,45,36-45,blue-collar,married,basic.4y,no,yes,yes,False
231,39,36-45,admin.,married,professional.course,no,yes,no,False
232,50,46-55,services,divorced,professional.course,no,yes,no,False
233,32,26-35,management,divorced,basic.4y,unknown,yes,no,True
234,39,36-45,admin.,married,high.school,unknown,no,no,True
235,52,46-55,self-employed,married,university.degree,unknown,no,no,True
236,44,36-45,admin.,married,professional.course,no,yes,no,False
237,56,55+,blue-collar,married,basic.4y,no,no,no,False
238,48,46-55,admin.,married,high.school,no,no,no,False
239,33,26-35,services,married,high.school,unknown,no,yes,True
240,43,36-45,management,married,university.degree,unknown,no,yes,True
241,57,55+,retired,married,high.school,no,no,no,False
242,36,36-45,technician,single,professional.course,no,no,no,False
243,34,26-35,management,married,university.degree,no,yes,no,False
244,34,26-35,services,single,basic.9y,no,no,no,False
245,30,26-35,technician,married,university.degree,unknown,no,no,True
246,33,26-35,services,divorced,unknown,no,no,no,True
247,32,26-35,technician,single,professional.course,no,no,no,False
248,36,36-45,technician,single,high.school,no,yes,no,False
249,36,36-45,blue-collar,single,high.school,no,no,yes,False
250,33,26-35,services,single,high.school,no,no,no,False
251,40,36-45,technician,divorced,professional.course,no,no,no,False
252,41,36-45,blue-collar,married,basic.4y,no,yes,no,False
253,51,46-55,services,married,basic.6y,no,yes,no,False
254,36,36-45,technician,married,professional.course,no,yes,no,False
255,28,26-35,services,married,unknown,no,no,no,True
256,53,46-55,services,married,high.school,no,yes,yes,False
257,58,55+,blue-collar,married,basic.9y,unknown,yes,no,True
258,45,36-45,management,married,basic.9y,no,no,yes,False
259,43,36-45,technician,married,unknown,no,yes,no,True
260,33,26-35,admin.,married,high.school,no,no,yes,False
261,33,26-35,admin.,married,high.school,no,no,yes,False
262,27,26-35,blue-collar,single,basic.6y,no,unknown,unknown,True
263,42,36-45,technician,married,high.school,no,no,no,False
264,43,36-45,admin.,divorced,basic.9y,no,no,no,False
265,42,36-45,admin.,married,university.degree,no,no,no,False
266,27,26-35,blue-collar,single,basic.6y,no,no,no,False
267,34,26-35,self-employed,single,university.degree,no,yes,no,False
268,31,26-35,student,single,university.degree,unknown,no,no,True
269,54,46-55,management,divorced,university.degree,no,no,no,False
270,40,36-45,self-employed,married,basic.4y,unknown,no,no,True
271,52,46-55,unemployed,married,high.school,unknown,yes,no,True
272,47,46-55,management,divorced,university.degree,no,no,no,False
273,49,46-55,housemaid,married,basic.9y,unknown,no,no,True
274,32,26-35,admin.,single,high.school,no,no,no,False
275,49,46-55,housemaid,single,high.school,unknown,yes,yes,True
276,50,46-55,blue-collar,married,basic.9y,unknown,no,no,True
277,34,26-35,services,married,high.school,no,no,no,False
278,55,46-55,blue-collar,married,basic.4y,unknown,no,no,True
279,47,46-55,technician,single,basic.9y,no,no,no,False
280,51,46-55,retired,married,professional.course,no,no,no,False
281,47,46-55,blue-collar,married,basic.6y,no,no,no,False
282,56,55+,technician,married,basic.4y,no,yes,no,False
283,53,46-55,admin.,married,basic.9y,no,no,no,False
284,36,36-45,blue-collar,married,basic.9y,no,yes,no,False
285,42,36-45,blue-collar,divorced,basic.9y,no,yes,no,False
286,44,36-45,blue-collar,divorced,basic.6y,no,no,no,False
287,39,36-45,housemaid,married,basic.9y,no,yes,no,False
288,37,36-45,admin.,single,high.school,no,yes,yes,False
289,60,55+,blue-collar,married,unknown,unknown,yes,no,True
290,36,36-45,services,married,high.school,no,no,no,False
291,42,36-45,management,divorced,university.degree,no,yes,no,False
292,31,26-35,admin.,married,high.school,no,yes,yes,False
293,53,46-55,technician,divorced,professional.course,unknown,no,yes,True
294,45,36-45,blue-collar,married,basic.4y,no,yes,no,False
295,37,36-45,technician,single,professional.course,no,yes,no,False
296,47,46-55,self-employed,married,professional.course,no,no,no,False
297,49,46-55,blue-collar,divorced,high.school,no,no,yes,False
298,36,36-45,admin.,married,university.degree,no,yes,no,False
299,35,26-35,services,divorced,high.school,no,no,no,False
300,38,36-45,unknown,married,unknown,unknown,no,no,True
301,38,36-45,services,single,high.school,unknown,no,no,True
302,50,46-55,blue-collar,divorced,high.school,unknown,no,yes,True
303,59,55+,retired,married,professional.course,unknown,no,no,True
304,43,36-45,unknown,married,unknown,no,yes,no,True
305,42,36-45,admin.,married,high.school,no,yes,no,False
306,40,36-45,admin.,married,basic.6y,unknown,yes,no,True
307,46,46-55,blue-collar,married,unknown,unknown,no,no,True
308,57,55+,housemaid,divorced,basic.4y,no,yes,yes,False
309,42,36-45,admin.,married,university.degree,no,yes,no,False
310,41,36-45,blue-collar,married,basic.4y,no,yes,no,False
311,54,46-55,management,divorced,university.degree,no,yes,no,False
312,27,26-35,admin.,single,university.degree,no,no,no,False
313,36,36-45,admin.,married,high.school,no,no,no,False
314,58,55+,blue-collar,married,professional.course,unknown,yes,no,True
315,40,36-45,management,married,university.degree,unknown,yes,no,True
316,34,26-35,admin.,single,basic.9y,unknown,no,no,True
317,33,26-35,admin.,divorced,high.school,no,no,no,False
318,56,55+,retired,married,basic.6y,no,no,no,False
319,42,36-45,blue-collar,married,basic.9y,no,no,no,False
320,43,36-45,services,married,high.school,no,yes,no,False
321,54,46-55,management,single,basic.9y,no,yes,no,False
322,53,46-55,admin.,single,basic.6y,no,yes,yes,False
323,42,36-45,technician,single,unknown,no,no,no,True
324,40,36-45,services,married,basic.6y,unknown,no,no,True
325,54,46-55,technician,married,professional.course,no,yes,yes,False
326,40,36-45,housemaid,single,professional.course,no,no,no,False
327,26,26-35,admin.,single,university.degree,no,yes,no,False
328,33,26-35,admin.,married,high.school,no,no,no,False
329,35,26-35,blue-collar,married,basic.9y,unknown,no,no,True
330,36,36-45,admin.,married,high.school,no,no,no,False
331,29,26-35,services,single,high.school,no,yes,no,False
332,36,36-45,blue-collar,married,basic.9y,no,yes,no,False
333,35,26-35,management,married,high.school,no,yes,no,False
334,50,46-55,self-employed,single,university.degree,no,no,yes,False
335,46,46-55,services,married,high.school,unknown,yes,no,True
336,49,46-55,entrepreneur,married,high.school,no,yes,no,False
337,42,36-45,technician,single,professional.course,unknown,yes,no,True
338,36,36-45,blue-collar,single,high.school,no,yes,yes,False
339,55,46-55,blue-collar,married,basic.9y,unknown,yes,no,True
340,41,36-45,management,married,university.degree,unknown,no,no,True
341,57,55+,management,married,professional.course,unknown,yes,no,True
342,32,26-35,services,single,high.school,no,yes,no,False
343,49,46-55,admin.,married,basic.9y,no,no,no,False
344,57,55+,unknown,married,unknown,unknown,yes,no,True
345,58,55+,blue-collar,divorced,basic.4y,no,yes,no,False
346,52,46-55,technician,married,high.school,no,yes,no,False
347,50,46-55,services,divorced,professional.course,no,no,no,False
348,41,36-45,blue-collar,single,basic.9y,unknown,yes,no,True
349,33,26-35,entrepreneur,married,university.degree,no,yes,no,False
350,57,55+,blue-collar,married,basic.4y,no,no,no,False
351,48,46-55,blue-collar,married,basic.6y,unknown,no,no,True
352,55,46-55,technician,married,professional.course,no,no,no,False
353,38,36-45,management,married,university.degree,no,no,no,False
354,38,36-45,services,married,high.school,no,yes,no,False
355,53,46-55,admin.,married,university.degree,no,yes,no,False
356,43,36-45,unemployed,single,university.degree,no,no,no,False
357,36,36-45,blue-collar,single,high.school,no,no,no,False
358,32,26-35,blue-collar,married,basic.9y,no,no,no,False
359,33,26-35,services,married,basic.4y,no,no,no,False
360,58,55+,entrepreneur,married,basic.4y,no,yes,no,False
361,40,36-45,unemployed,divorced,high.school,unknown,no,no,True
362,57,55+,management,married,university.degree,no,yes,no,False
363,45,36-45,technician,married,high.school,no,yes,no,False
364,42,36-45,blue-collar,married,basic.4y,unknown,yes,no,True
365,46,46-55,admin.,married,university.degree,no,yes,no,False
366,36,36-45,technician,married,university.degree,no,no,no,False
367,41,36-45,self-employed,married,high.school,no,yes,no,False
368,57,55+,admin.,divorced,basic.9y,no,no,no,False
369,49,46-55,blue-collar,married,basic.9y,unknown,yes,no,True
370,56,55+,management,divorced,high.school,no,no,no,False
371,37,36-45,blue-collar,married,basic.9y,no,no,no,False
372,37,36-45,blue-collar,married,basic.9y,no,no,yes,False
373,46,46-55,admin.,single,high.school,no,yes,no,False
374,22,18-25,blue-collar,single,basic.9y,no,yes,no,False
375,43,36-45,services,married,high.school,no,no,no,False
376,49,46-55,blue-collar,married,unknown,no,no,no,True
377,41,36-45,technician,married,basic.6y,no,yes,no,False
378,38,36-45,admin.,single,university.degree,no,no,no,False
379,33,26-35,admin.,married,basic.9y,no,no,no,False
380,49,46-55,admin.,married,university.degree,no,yes,yes,False
381,30,26-35,blue-collar,single,unknown,no,no,no,True
382,33,26-35,admin.,married,basic.9y,no,yes,no,False
383,34,26-35,management,single,university.degree,no,no,no,False
384,30,26-35,student,single,unknown,unknown,no,no,True
385,59,55+,management,married,basic.4y,unknown,yes,yes,True
386,59,55+,management,married,basic.4y,unknown,unknown,unknown,True
387,41,36-45,self-employed,married,university.degree,no,no,no,False
388,48,46-55,housemaid,married,basic.6y,unknown,yes,yes,True
389,28,26-35,unknown,single,unknown,unknown,yes,yes,True
390,44,36-45,services,married,high.school,no,yes,no,False
391,59,55+,retired,unknown,university.degree,unknown,no,no,True
392,50,46-55,management,married,high.school,unknown,no,no,True
393,35,26-35,admin.,married,university.degree,no,no,no,False
394,42,36-45,admin.,married,high.school,no,no,no,False
395,45,36-45,admin.,married,basic.9y,no,no,no,False
396,36,36-45,technician,married,professional.course,no,no,no,False
397,56,55+,services,married,high.school,unknown,no,no,True
398,29,26-35,blue-collar,divorced,basic.4y,no,no,no,False
399,41,36-45,self-employed,married,university.degree,no,yes,yes,False
400,42,36-45,blue-collar,married,basic.9y,unknown,no,no,True
401,52,46-55,services,single,high.school,no,no,no,False
402,48,46-55,services,married,high.school,unknown,unknown,unknown,True
403,31,26-35,blue-collar,married,high.school,unknown,yes,no,True
404,43,36-45,unemployed,married,university.degree,unknown,yes,no,True
405,36,36-45,blue-collar,married,basic.4y,unknown,no,no,True
406,42,36-45,entrepreneur,married,university.degree,no,yes,no,False
407,52,46-55,services,divorced,basic.6y,no,no,no,False
408,39,36-45,admin.,married,high.school,no,yes,no,False
409,36,36-45,services,married,high.school,no,no,yes,False
410,42,36-45,blue-collar,married,basic.9y,unknown,yes,no,True
411,41,36-45,admin.,married,high.school,no,no,no,False
412,55,46-55,technician,married,basic.4y,no,no,yes,False
413,30,26-35,blue-collar,married,basic.9y,no,no,no,False
414,57,55+,retired,unknown,basic.4y,no,no,no,True
415,45,36-45,entrepreneur,married,basic.4y,unknown,yes,no,True
416,51,46-55,blue-collar,married,basic.4y,unknown,yes,yes,True
417,39,36-45,self-employed,single,basic.9y,unknown,yes,yes,True
418,47,46-55,admin.,married,high.school,unknown,no,no,True
419,27,26-35,services,married,high.school,no,yes,no,False
420,34,26-35,technician,single,university.degree,no,yes,no,False
421,57,55+,blue-collar,married,basic.4y,unknown,yes,no,True
422,43,36-45,entrepreneur,married,basic.4y,no,no,no,False
423,49,46-55,blue-collar,married,basic.4y,unknown,no,no,True
424,39,36-45,management,married,university.degree,unknown,no,no,True
425,38,36-45,blue-collar,married,basic.4y,unknown,yes,no,True
426,49,46-55,blue-collar,married,basic.9y,no,no,no,False
427,58,55+,management,married,basic.6y,no,no,no,False
428,43,36-45,technician,married,professional.course,no,yes,no,False
429,50,46-55,unknown,married,unknown,unknown,yes,no,True
430,31,26-35,services,married,high.school,unknown,no,no,True
431,43,36-45,self-employed,divorced,university.degree,no,no,no,False
432,43,36-45,self-employed,married,basic.9y,unknown,no,no,True
433,30,26-35,self-employed,single,university.degree,no,yes,no,False
434,27,26-35,services,single,professional.course,no,yes,yes,False
435,51,46-55,services,married,unknown,unknown,no,no,True
436,37,36-45,technician,married,professional.course,no,yes,no,False
437,46,46-55,housemaid,married,basic.9y,no,yes,no,False
438,35,26-35,blue-collar,married,professional.course,no,no,no,False
439,47,46-55,admin.,divorced,university.degree,no,no,no,False
440,46,46-55,management,married,unknown,no,yes,no,True
441,40,36-45,technician,married,professional.course,unknown,no,yes,True
442,26,26-35,housemaid,married,university.degree,no,no,no,False
443,32,26-35,blue-collar,divorced,basic.9y,unknown,no,no,True
444,45,36-45,management,married,university.degree,no,yes,no,False
445,34,26-35,admin.,married,basic.9y,no,no,no,False
446,47,46-55,blue-collar,married,unknown,unknown,no,no,True
447,42,36-45,technician,married,professional.course,no,no,no,False
448,57,55+,technician,married,basic.4y,unknown,no,yes,True
449,57,55+,technician,married,basic.4y,unknown,no,no,True
450,38,36-45,blue-collar,married,basic.4y,no,no,yes,False
451,57,55+,technician,married,basic.4y,unknown,no,no,True
452,28,26-35,student,single,basic.9y,unknown,yes,no,True
453,60,55+,management,married,university.degree,no,no,no,False
454,48,46-55,admin.,married,university.degree,no,yes,no,False
455,47,46-55,technician,married,professional.course,no,yes,no,False
456,40,36-45,admin.,married,high.school,no,no,no,False
457,51,46-55,management,married,professional.course,unknown,yes,no,True
458,48,46-55,unemployed,single,basic.4y,no,yes,no,False
459,54,46-55,housemaid,married,basic.4y,no,no,no,False
460,40,36-45,blue-collar,married,basic.6y,no,no,yes,False
461,44,36-45,admin.,single,basic.9y,unknown,no,no,True
462,42,36-45,technician,divorced,high.school,no,no,no,False
463,52,46-55,self-employed,married,university.degree,no,yes,no,False
464,31,26-35,blue-collar,single,basic.9y,no,yes,no,False
465,32,26-35,services,married,high.school,no,no,no,False
466,44,36-45,admin.,married,high.school,no,yes,yes,False
467,39,36-45,management,married,basic.6y,unknown,no,no,True
468,57,55+,management,married,professional.course,unknown,yes,no,True
469,52,46-55,admin.,married,basic.4y,no,yes,no,False
470,42,36-45,management,married,university.degree,no,no,no,False
471,42,36-45,technician,single,professional.course,unknown,unknown,unknown,True
472,43,36-45,management,married,professional.course,no,yes,no,False
473,31,26-35,admin.,divorced,high.school,no,no,no,False
474,29,26-35,admin.,married,university.degree,unknown,yes,no,True
475,57,55+,blue-collar,divorced,basic.4y,no,no,no,False
476,44,36-45,blue-collar,married,basic.9y,unknown,no,no,True
477,59,55+,unknown,married,unknown,unknown,no,no,True
478,39,36-45,blue-collar,married,basic.4y,unknown,no,no,True
479,57,55+,retired,married,university.degree,no,no,no,False
480,41,36-45,management,married,unknown,unknown,no,no,True
481,37,36-45,technician,single,high.school,unknown,no,yes,True
482,38,36-45,services,married,high.school,no,yes,no,False
483,42,36-45,retired,married,basic.4y,no,no,no,False
484,49,46-55,unknown,married,unknown,unknown,yes,no,True
485,54,46-55,management,married,basic.6y,unknown,yes,yes,True
486,36,36-45,admin.,married,university.degree,no,unknown,unknown,True
487,32,26-35,admin.,single,university.degree,unknown,no,no,True
488,35,26-35,technician,married,professional.course,no,yes,no,False
